Strip Number,Connector #,Connector Pin #,CE Board #,CEB Channel #,ASIC,ASIC Channel
Y253,1,1,4,31,2,15
U102,1,4,4,30,2,14
Y256,1,7,4,29,2,13
U103,1,10,4,28,2,12
Y259,1,13,4,27,2,11
Y260,1,16,4,26,2,10
Y262,1,19,4,25,2,9
Y263,1,22,4,24,2,8
U106,1,25,4,23,2,7
Y266,1,28,4,22,2,6
U107,1,31,4,21,2,5
Y268,1,34,4,20,2,4
Y270,1,37,4,19,2,3
Y272,1,40,4,18,2,2
Y273,1,43,4,17,2,1
U110,1,46,4,16,2,0
Y276,1,49,4,15,1,15
U111,1,52,4,14,1,14
Y279,1,55,4,13,1,13
Y280,1,58,4,12,1,12
Y282,1,61,4,11,1,11
Y283,1,64,4,10,1,10
U114,1,67,4,9,1,9
Y286,1,70,4,8,1,8
U115,1,73,4,7,1,7
Y289,1,76,4,6,1,6
Y290,1,79,4,5,1,5
Y292,1,82,4,4,1,4
Y293,1,85,4,3,1,3
U118,1,88,4,2,1,2
Y295,1,91,4,1,1,1
U119,1,94,4,0,1,0
U101,1,3,4,48,4,0
Y254,1,6,4,49,4,1
Y255,1,9,4,50,4,2
Y257,1,12,4,51,4,3
Y258,1,15,4,52,4,4
U104,1,18,4,53,4,5
Y261,1,21,4,54,4,6
U105,1,24,4,55,4,7
Y264,1,27,4,56,4,8
Y265,1,30,4,57,4,9
Y267,1,33,4,58,4,10
Y269,1,36,4,59,4,11
U108,1,39,4,60,4,12
Y271,1,42,4,61,4,13
U109,1,45,4,62,4,14
Y274,1,48,4,63,4,15
Y275,1,51,4,32,3,0
Y277,1,54,4,33,3,1
Y278,1,57,4,34,3,2
U112,1,60,4,35,3,3
Y281,1,63,4,36,3,4
U113,1,66,4,37,3,5
Y284,1,69,4,38,3,6
Y285,1,72,4,39,3,7
Y287,1,75,4,40,3,8
Y288,1,78,4,41,3,9
U116,1,81,4,42,3,10
Y291,1,84,4,43,3,11
U117,1,87,4,44,3,12
Y294,1,90,4,45,3,13
Y296,1,93,4,46,3,14
Y297,1,96,4,47,3,15
Y299,2,1,4,79,5,15
Y300,2,4,4,78,5,14
Y302,2,7,4,77,5,13
Y303,2,10,4,76,5,12
U122,2,13,4,75,5,11
Y306,2,16,4,74,5,10
U123,2,19,4,73,5,9
Y309,2,22,4,72,5,8
Y310,2,25,4,71,5,7
Y312,2,28,4,70,5,6
Y313,2,31,4,69,5,5
U126,2,34,4,68,5,4
Y316,2,37,4,67,5,3
U127,2,40,4,66,5,2
Y319,2,43,4,65,5,1
Y320,2,46,4,64,5,0
Z1,2,49,4,95,6,15
Z2,2,52,4,94,6,14
Z3,2,55,4,93,6,13
Z4,2,58,4,92,6,12
Z5,2,61,4,91,6,11
Z6,2,64,4,90,6,10
U129,2,67,4,89,6,9
Z7,2,70,4,88,6,8
Z8,2,73,4,87,6,7
U130,2,76,4,86,6,6
Z9,2,79,4,85,6,5
Z10,2,82,4,84,6,4
U131,2,85,4,83,6,3
Z11,2,88,4,82,6,2
Z12,2,91,4,81,6,1
U132,2,94,4,80,6,0
Y298,2,3,4,96,7,0
U120,2,6,4,97,7,1
Y301,2,9,4,98,7,2
U121,2,12,4,99,7,3
Y304,2,15,4,100,7,4
Y305,2,18,4,101,7,5
Y307,2,21,4,102,7,6
Y308,2,24,4,103,7,7
U124,2,27,4,104,7,8
Y311,2,30,4,105,7,9
U125,2,33,4,106,7,10
Y314,2,36,4,107,7,11
Y315,2,39,4,108,7,12
Y317,2,42,4,109,7,13
Y318,2,45,4,110,7,14
U128,2,48,4,111,7,15
U138,2,51,4,112,8,0
U137,2,54,4,113,8,1
Z22,2,57,4,114,8,2
U136,2,60,4,115,8,3
Z21,2,63,4,116,8,4
Z20,2,66,4,117,8,5
U135,2,69,4,118,8,6
Z19,2,72,4,119,8,7
Z18,2,75,4,120,8,8
U134,2,78,4,121,8,9
Z17,2,81,4,122,8,10
